Measure Mode: wall_time
Thread ID: 17742200
Fiber ID: 20500120
Total: 119.365765
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02      0.137     0.018     0.000     0.118     5748  *Array#each
  0.01      0.999     0.016     0.001     0.983      604  *Kernel#require
  0.01      0.015     0.015     0.000     0.000      624   IO#set_encoding
  0.01      0.015     0.015     0.000     0.000       96   <Class::Dir>#[]
  0.01      0.060     0.014     0.000     0.046      436  *Module#module_eval
  0.01      0.009     0.009     0.000     0.000     6356   Symbol#to_sym
  0.01      0.009     0.009     0.000     0.000     3100   Symbol#to_s
  0.01      0.179     0.009     0.000     0.170     5439  *Class#new
  0.00      0.007     0.006     0.000     0.001      149   Module#class_eval
  0.00      0.006     0.006     0.000     0.000     2936   Module#method_added
  0.00      0.006     0.006     0.000     0.000     1805   String#gsub
  0.00      0.014     0.005     0.000     0.008     2843   Kernel#dup
  0.00      0.005     0.005     0.000     0.000      972   String#sub
  0.00      0.005     0.005     0.000     0.000     3413   BinData::DSLMixin::DSLParser#parser_abilities
  0.00      0.035     0.005     0.000     0.030     1516   Array#map
  0.00      0.005     0.005     0.000     0.000      292   Kernel#define_singleton_method
  0.00      0.008     0.004     0.000     0.004     2911   Kernel#initialize_dup
  0.00      0.004     0.004     0.000     0.000     6858   Kernel#nil?
  0.00      0.014     0.004     0.000     0.009     2973   BinData::DSLMixin::DSLParser#option?
  0.00      0.004     0.004     0.000     0.000     5412   Kernel#hash
  0.00      0.008     0.004     0.000     0.004     1705  *Hash#each
  0.00      0.004     0.004     0.000     0.000     1586   Regexp#=~
  0.00    119.231     0.003     0.000   119.227        2  *Kernel#load
  0.00      0.003     0.003     0.000     0.000     3196   BasicObject#!
  0.00      0.003     0.003     0.000     0.000     4458   Array#include?
  0.00      0.020     0.003     0.000     0.017      857   BinData::Registry#underscore_name
  0.00      0.008     0.003     0.000     0.005     2281  *BinData::DSLMixin::DSLParser#endian
  0.00      0.008     0.003     0.000     0.005     1723  *BinData::DSLMixin#dsl_parser
  0.00      0.011     0.003     0.000     0.008     1961  *BinData::AcceptedParametersPlugin#accepted_parameters
  0.00      0.004     0.003     0.000     0.001      255   URI::Generic#to_s
  0.00      0.003     0.003     0.000     0.000      902   String#downcase
  0.00      0.003     0.003     0.000     0.000     3405   Gem::Dependency#type
  0.00      0.100     0.003     0.000     0.097      638  *BinData::SanitizedPrototype#initialize
  0.00      0.011     0.003     0.000     0.008     1812  *BinData::DSLMixin::DSLParser#fields
  0.00      0.003     0.003     0.000     0.000     1510   String#to_s
  0.00      0.003     0.003     0.000     0.000     6019   Hash#[]
  0.00      0.003     0.003     0.000     0.000     1725   Hash#[]=
  0.00      0.007     0.003     0.000     0.005     2461   BinData::SanitizedField#name_as_sym
  0.00      0.010     0.003     0.000     0.008      519   Enumerable#sort_by
  0.00      0.065     0.002     0.000     0.063      771  *BinData::SanitizedParameters#initialize
  0.00      0.005     0.002     0.000     0.002      953  *<Class::BinData::Base>#arg_processor
  0.00      0.002     0.002     0.000     0.000     3229   Array#at
  0.00      0.061     0.002     0.000     0.059      771  *BinData::SanitizedParameters#sanitize!
  0.00      0.010     0.002     0.000     0.008     1808   Gem::Version#version
  0.00      0.002     0.002     0.000     0.000     1851   String#initialize_copy
  0.00      0.002     0.002     0.000     0.000     3743   Kernel#is_a?
  0.00      0.003     0.002     0.000     0.000     2901   Kernel#respond_to?
  0.00      0.013     0.002     0.000     0.011     2510   BinData::DSLMixin::DSLFieldValidator#option?
  0.00      0.012     0.002     0.000     0.010     1073   Gem::Dependency#hash
  0.00      0.199     0.002     0.000     0.197     1002  *BinData::DSLMixin#method_missing
  0.00      0.002     0.002     0.000     0.000     3141   String#hash
  0.00      0.042     0.002     0.000     0.041      628   BinData::DSLMixin::DSLFieldValidator#ensure_valid_name
  0.00      0.002     0.002     0.000     0.000     1658   Class#superclass
  0.00      0.002     0.002     0.000     0.000     1939   Array#sort
  0.00      0.002     0.002     0.000     0.000     1029   Array#join
  0.00      0.002     0.002     0.000     0.000      857   String#tr
  0.00      0.003     0.002     0.000     0.001     1670   Hash#include?
  0.00      0.016     0.002     0.000     0.014      569   Enumerable#detect
  0.00      0.002     0.002     0.000     0.000     5222   Module#===
  0.00      0.021     0.002     0.000     0.020        4   Bundler::SpecSet#for
  0.00      0.184     0.002     0.000     0.182      628  *BinData::DSLMixin::DSLParser#parse_and_append_field
  0.00      0.006     0.002     0.000     0.004      665  *BinData::DSLMixin::DSLParser#parent_attribute
  0.00      0.002     0.002     0.000     0.000      474   Array#flatten
  0.00      0.013     0.002     0.000     0.012      812   Hash#each_pair
  0.00      0.061     0.002     0.000     0.059      628   BinData::DSLMixin::DSLFieldValidator#validate_field
  0.00      0.022     0.002     0.000     0.020      274   Forwardable#def_instance_delegator
  0.00      0.002     0.002     0.000     0.000      270   Class#inherited
  0.00      0.003     0.002     0.000     0.001      938   BinData::AcceptedParametersPlugin::AcceptedParameters#mandatory
  0.00      0.006     0.002     0.000     0.004      783   BinData::AcceptedParametersPlugin#mandatory_parameters
  0.00      0.033     0.002     0.000     0.032      628  *BinData::DSLMixin::DSLFieldParser#initialize
  0.00      0.002     0.002     0.000     0.001      628   BinData::DSLMixin::DSLFieldParser#name_from_field_declaration
  0.00      0.107     0.002     0.000     0.105      628   BinData::SanitizedFields#add_field
  0.00      0.009     0.002     0.000     0.007      771   BinData::SanitizedParameters#ensure_mandatory_parameters_exist
  0.00      0.007     0.002     0.000     0.006     2825  *Array#hash
  0.00      0.003     0.002     0.000     0.002      483   Array#collect
  0.00      0.002     0.002     0.000     0.000     2213   Gem::Dependency#requirement
  0.00      0.012     0.002     0.000     0.010      773   BinData::AcceptedParametersPlugin#default_parameters
  0.00      0.002     0.002     0.000     0.000     6690   String#<=>
  0.00      0.001     0.001     0.000     0.000      840   Module#method_defined?
  0.00      0.014     0.001     0.000     0.013      771   BinData::SanitizedParameters#merge_default_parameters!
  0.00      0.001     0.001     0.000     0.000     1229   Kernel#class
  0.00      0.001     0.001     0.000     0.000     5312   Symbol#==
  0.00      0.001     0.001     0.000     0.000      415   String#=~
  0.00      0.001     0.001     0.000     0.000      928   BinData::AcceptedParametersPlugin::AcceptedParameters#default
  0.00      0.001     0.001     0.000     0.000      622   BasicObject#singleton_method_added
  0.00      0.006     0.001     0.000     0.004      771   BinData::SanitizedParameters#ensure_mutual_exclusion_of_parameters
  0.00      0.187     0.001     0.000     0.186      628  *BinData::DSLMixin::DSLParser#method_missing
  0.00      0.001     0.001     0.000     0.000      481   Array#concat
  0.00      0.027     0.001     0.000     0.026      638   BinData::Registry#normalize_name
  0.00      0.001     0.001     0.000     0.000     1385   Gem::Version#hash
  0.00      0.001     0.001     0.000     0.000      818   Symbol#to_proc
  0.00      0.001     0.001     0.000     0.000      628   BinData::DSLMixin::DSLFieldParser#params_from_args
  0.00      0.010     0.001     0.000     0.009      216   BinData::Registry#register
  0.00      0.030     0.001     0.000     0.029      628  *BinData::DSLMixin::DSLFieldParser#params_from_field_declaration
  0.00      0.009     0.001     0.000     0.007      234   BinData::DSLMixin::DSLParser#to_struct_params
  0.00      0.011     0.001     0.000     0.009      742   BinData::DSLMixin::DSLFieldValidator#fields
  0.00      0.028     0.001     0.000     0.027      638   BinData::Registry#lookup
  0.00      0.109     0.001     0.000     0.107      628   BinData::DSLMixin::DSLParser#append_field
  0.00      0.003     0.001     0.000     0.002      241   BinData::AcceptedParametersPlugin#mutually_exclusive_parameters
  0.00      0.102     0.001     0.000     0.101      628   BinData::SanitizedField#initialize
  0.00      0.011     0.001     0.000     0.010      825   BinData::Registry#is_registered?
  0.00      0.001     0.001     0.000     0.000     1671   Hash#has_key?
  0.00      0.004     0.001     0.000     0.003      184   BinData::DSLMixin::DSLParser#initialize
  0.00      0.007     0.001     0.000     0.006     1073   Gem::Requirement#hash
  0.00      0.002     0.001     0.000     0.001     2335   Bundler::LazySpecification#satisfies?
  0.00      0.001     0.001     0.000     0.000      998   Array#shift
  0.00      0.010     0.001     0.000     0.009      753   Gem::Requirement#to_s
  0.00      0.001     0.001     0.000     0.000      807   Proc#yield
  0.00      0.002     0.001     0.000     0.001      718   BinData::SanitizedParameters#needs_sanitizing?
  0.00      0.007     0.001     0.000     0.006      156   BinData::AcceptedParametersPlugin::AcceptedParameters#initialize
  0.00      0.005     0.001     0.000     0.004      228   Gem::Dependency#initialize
  0.00      0.001     0.001     0.000     0.000      663   Array#initialize_copy
  0.00      0.003     0.001     0.000     0.002      396   BinData::AcceptedParametersPlugin::AcceptedParameters#mutually_exclusive
  0.00      0.002     0.001     0.000     0.001      352   <Class::Gem::Requirement>#parse
  0.00      0.006     0.001     0.000     0.005      562   BinData::DSLMixin::DSLFieldValidator#malformed_name?
  0.00      0.004     0.001     0.000     0.003      103   Array#uniq
  0.00      0.001     0.001     0.000     0.000      432   Array#delete
  0.00      0.003     0.001     0.000     0.002      771   BinData::SanitizedParameters#ensure_no_nil_values
  0.00      0.001     0.001     0.000     0.000     1605   NilClass#nil?
  0.00      0.003     0.001     0.000     0.002      562   BinData::DSLMixin::DSLFieldValidator#name_is_reserved?
  0.00      0.001     0.001     0.000     0.000       63   Module#attr_accessor
  0.00      0.004     0.001     0.000     0.003       55   Array#reverse_each
  0.00      0.005     0.001     0.000     0.004      354   Gem::Requirement#initialize
  0.00      0.008     0.001     0.000     0.007      628   BinData::DSLMixin::DSLFieldValidator#all_or_none_names_failed?
  0.00      0.008     0.001     0.000     0.007      753   Gem::Requirement#as_list
  0.00      0.011     0.001     0.000     0.010      130   <Class::BinData::Record>#inherited
  0.00      0.001     0.001     0.000     0.000      984   BinData::SanitizedField#name
  0.00      0.004     0.001     0.000     0.003      589   Bundler::RemoteSpecification#full_name
  0.00      0.001     0.001     0.000     0.000     1030   Kernel#block_given?
  0.00      0.008     0.001     0.000     0.007      190   Bundler::LockfileParser#parse_spec
  0.00      0.005     0.001     0.000     0.004      628   BinData::DSLMixin::DSLFieldValidator#must_not_have_a_name_failed?
  0.00      0.010     0.001     0.000     0.009      567  *Enumerable#find
  0.00      0.001     0.001     0.000     0.000       16   Regexp#match
  0.00      0.001     0.001     0.000     0.000      224   Hash#initialize_copy
  0.00      0.001     0.001     0.000     0.000      596   Array#first
  0.00      0.010     0.001     0.000     0.010      256   BinData::DSLMixin::DSLParser#dsl_params
  0.00      0.003     0.001     0.000     0.002      183   BinData::DSLMixin::DSLBigAndLittleEndianHandler#obj_attribute
  0.00      0.005     0.001     0.000     0.004      229  *BinData::DSLMixin::DSLParser#hide
  0.00      0.001     0.001     0.000     0.000      236   Hash#fetch
  0.00      0.001     0.001     0.000     0.000      224   Module#name
  0.00      0.001     0.001     0.000     0.000      216   BinData::Registry#warn_if_name_is_already_registered
  0.00      0.026     0.001     0.000     0.026      562   BinData::DSLMixin::DSLFieldValidator#duplicate_name?
