Measure Mode: wall_time
Thread ID: 5519740
Fiber ID: 8310300
Total: 402.271097
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02      0.070     0.070     0.000     0.000     3100   Symbol#to_s
  0.01      0.047     0.047     0.000     0.000      624   IO#set_encoding
  0.01      0.457     0.045     0.000     0.412     5748  *Array#each
  0.01      0.187     0.044     0.000     0.143      436  *Module#module_eval
  0.01      3.035     0.039     0.002     2.994      604  *Kernel#require
  0.01      0.658     0.039     0.000     0.619     5439  *Class#new
  0.01      0.034     0.034     0.000     0.000      902   String#downcase
  0.01      0.029     0.029     0.000     0.000     6356   Symbol#to_sym
  0.01      0.028     0.028     0.000     0.000       96   <Class::Dir>#[]
  0.01      0.026     0.025     0.000     0.000     1805   String#gsub
  0.01      0.396     0.024     0.000     0.371      628   BinData::SanitizedFields#add_field
  0.01      0.025     0.024     0.001     0.000     1586   Regexp#=~
  0.01      0.024     0.024     0.000     0.000     1385   Gem::Version#hash
  0.01      0.023     0.023     0.000     0.000     5412   Kernel#hash
  0.01      0.050     0.022     0.000     0.028     1705  *Hash#each
  0.00      0.038     0.019     0.000     0.019     1808   Gem::Version#version
  0.00      0.120     0.019     0.000     0.101      628  *BinData::DSLMixin::DSLFieldParser#params_from_field_declaration
  0.00      0.017     0.017     0.000     0.000      622   BasicObject#singleton_method_added
  0.00    401.802     0.016     0.000   401.787        2  *Kernel#load
  0.00      0.015     0.015     0.000     0.000     3405   Gem::Dependency#type
  0.00      0.023     0.014     0.000     0.009      665  *BinData::DSLMixin::DSLParser#parent_attribute
  0.00      0.018     0.013     0.000     0.005      149   Module#class_eval
  0.00      0.014     0.013     0.000     0.001      628   BinData::DSLMixin::DSLFieldParser#name_from_field_declaration
  0.00      0.040     0.013     0.000     0.027     2843   Kernel#dup
  0.00      0.035     0.012     0.000     0.022     2973   BinData::DSLMixin::DSLParser#option?
  0.00      0.012     0.012     0.000     0.000     4458   Array#include?
  0.00      0.027     0.012     0.000     0.015     2911   Kernel#initialize_dup
  0.00      0.012     0.012     0.000     0.000     3141   String#hash
  0.00      0.012     0.012     0.000     0.000      481   Array#concat
  0.00      0.027     0.012     0.000     0.016      567  *Enumerable#find
  0.00      0.019     0.012     0.000     0.007      483   Array#collect
